periodo,shac,codigo,nombre,dia_slope,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
2000-2020,SHAC_216,5426021,TABOLANGO (1),6.539146565836299e-4,0.2386788496530249,0,1,21,20,1.05,-71.36176478,-32.92720664
2000-2020,SHAC_216,5426023,TABOLANGO (2),0.0015837105158371034,0.5780543382805428,1,0,2,20,0.1,-71.36605871,-32.93105693
2000-2020,SHAC_216,5428005,CON CON,-7.8696937408492e-5,-0.02872438215409958,0.0013668842148035765,1,20,20,1,-71.47398601,-32.92593612
2000-2020,SHAC_216,5428006,CON CON,1.1037517108167794e-4,0.04028693744481245,0.001359105110168457,1,13,20,0.65,-71.47217409,-32.92383496
2000-2020,SHAC_216,5428008,CON CON,0.0011379656354481367,0.4153574569385699,0,1,21,20,1.05,-71.49086356,-32.92386042
2000-2020,SHAC_216,5428010,LAJARILLAS,0.0010350053066612787,0.3777769369313667,0,1,19,20,0.95,-71.46550599,-32.92549965
2000-2020,SHAC_217,5410011,FUNDO LAS PENAS,0.0064024831172388615,2.3369063377921844,0,1,14,20,0.7,-70.6532793,-32.79706589
2000-2020,SHAC_217,5410014,MISION DE MARIA,0.0026901001644287744,0.9818865600165027,7.3909759521484375e-6,1,19,20,0.95,-70.68086565,-32.80406714
2000-2020,SHAC_217,5410015,FUNDO LAS VIÑAS,0.0021870110172143957,0.7982590212832544,1.5020370483398438e-05,1,17,20,0.85,-70.6726185,-32.79366137
2000-2020,SHAC_217,5410017,FUNDO LAS MERCEDES,-9.978416774541546e-4,-0.36421221227076644,0.4954484701156616,0,8,20,0.4,-70.64294187,-32.84634701
2000-2020,SHAC_217,5410018,FUNDO LA QUIMERA,0.0036005455434782656,1.314199123369567,0,1,20,20,1,-70.68087768,-32.80413913
2000-2020,SHAC_217,5410019,FUNDO LOS PINOS,0.0015584276623376789,0.5688260967532528,3.197193145751953e-4,1,16,20,0.8,-70.66409096,-32.78070632
2000-2020,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.0025806452634408606,0.9419355211559142,0,1,20,20,1,-70.69553787,-32.76236364
2000-2020,SHAC_217,5410021,FUNDO LOS MAITENES,0.0019154140335546994,0.6991261222474653,7.545948028564453e-5,1,18,20,0.9,-70.67754628,-32.83996231
2000-2020,SHAC_217,5410023,POZO MARTINEZ,0.006540697674418605,2.387354651162791,0,1,7,20,0.35,-70.71461418,-32.77690421
