periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,length_años,n_percent,lon,lat
1980-2000,Otoño,SHAC_218,5423024,ASENTAMIENTO ROMERAL,0.07142857142857142,0.21049761772155762,0,10,20,0.5,-71.02547156,-32.82884349
1980-2000,Otoño,SHAC_219,5420006,FUNDO SANTA ADRIANA,0.020000012766666676,0.042208075523376465,1,15,20,0.75,-70.82913475,-32.77221762
1980-2000,Otoño,SHAC_219,5420007,HIJUELA PRINCIPAL,0.07233334376666663,0.008594989776611328,1,14,20,0.7,-70.80895258,-32.75661954
1980-2000,Otoño,SHAC_220,5423014,FUNDO FLORENCE,0.07333333283333332,0.016006112098693848,1,14,20,0.7,-71.1212261,-32.83946724
1980-2000,Otoño,SHAC_220,5423015,RABUCO (1),0.024999975999999924,0.4362748861312866,0,11,20,0.55,-71.10740834,-32.8731217
1980-2000,Otoño,SHAC_220,5423016,PARCELA 5,-0.020000000833333347,1,0,15,20,0.75,-71.20547884,-32.79716832
1980-2000,Otoño,SHAC_220,5423017,ASENTAMIENTO MANUEL RODRIGUEZ (1),0.004861108138888895,0.13708782196044922,0,17,20,0.85,-71.14548902,-32.82405655
1980-2000,Otoño,SHAC_220,5423018,ASENTAMIENTO LA SOMBRA,0.029500000764285716,0.027376770973205566,1,16,20,0.8,-71.05552522,-32.81523187
1980-2000,Otoño,SHAC_220,5423019,POZO RABUCO (2),0.0241666633958334,0.05747222900390625,0,17,20,0.85,-71.11569622,-32.86077133
1980-2000,Otoño,SHAC_220,5423020,FUNDO ESPERANZA,-0.032083319263888854,0.6853286027908325,0,16,20,0.8,-71.10214426,-32.85383952
1980-2000,Otoño,SHAC_220,5423021,ASENTAMIENTO MANUEL RODRIGUEZ (2),0.015479164780555561,0.06920075416564941,0,17,20,0.85,-71.15491881,-32.81383945
1980-2000,Otoño,SHAC_220,5423022,ASENTAMIENTO LOS AROMOS,0.010000001250000001,0.16028082370758057,0,17,20,0.85,-71.08206483,-32.82806788
1980-2000,Otoño,SHAC_220,5423023,ASENTAMIENTO MANUEL RODRIGUEZ (3),0.02746031588888889,0.011608719825744629,1,16,20,0.8,-71.146715,-32.80664879
1980-2000,Otoño,SHAC_220,5424006,PUCALAN DE NOGALES,0.006041663979166657,0.4418761730194092,0,16,20,0.8,-71.19913908,-32.71654211
1980-2000,Otoño,SHAC_220,5424007,ASENTAMIENTO NOGALES,0.12812504175000006,0.04887962341308594,1,18,20,0.9,-71.19910174,-32.7167592
1980-2000,Otoño,SHAC_220,5424008,ASENTAMIENTO EL MELON,0.19292856990476193,0.162805438041687,0,16,20,0.8,-71.19693963,-32.69166388
1980-2000,Otoño,SHAC_220,5424010,FUNDO EL CARMEN,0.01107142657142857,0.5583509206771851,0,16,20,0.8,-71.17176756,-32.76189317
1980-2000,Otoño,SHAC_220,5424012,CONCHALI,0.006249994000000009,0.6545878648757935,0,15,20,0.75,-71.15662562,-32.79431312
1980-2000,Otoño,SHAC_220,5425006,PARCELA SAN ANTONIO,0.028090905099999987,0.02599465847015381,1,17,20,0.85,-71.20516138,-32.79858071
1980-2000,Otoño,SHAC_220,5427010,A.P. OLMUE,0.049629599962962935,0.1524062156677246,0,10,20,0.5,-71.11547512,-32.82940126
1980-2000,Otoño,SHAC_221,5425004,CALLEJON ZARAVIA,0.08916656166666659,0.04909801483154297,1,10,20,0.5,-71.22723603,-32.81845292
1980-2000,Otoño,SHAC_221,5425005,CALLE SANTA MARIA,0.07555558955555558,0.0010901689529418945,1,15,20,0.75,-71.22882185,-32.83661357
1980-2000,Otoño,SHAC_221,5426005,FUNDO ESMERALDA (1),-0.0019090891121212135,0.773080050945282,0,17,20,0.85,-71.25657172,-32.91750049
1980-2000,Otoño,SHAC_221,5426006,FUNDO ESMERALDA (2),-0.009743588897435894,0.32229965925216675,0,15,20,0.75,-71.25652012,-32.91757356
1980-2000,Otoño,SHAC_221,5426007,FUNDO EL PROGRESO,0.01500000062500001,0.21545779705047607,0,15,20,0.75,-71.22865304,-32.79736207
1980-2000,Otoño,SHAC_221,5426008,FUNDO SAN ANTONIO,0.18124999525000002,0.04760396480560303,1,9,20,0.45,-71.22861395,-32.79750705
1980-2000,Otoño,SHAC_221,5426009,ASENTAMIENTO EL CAJON,-0.046452379814285724,0.08678758144378662,0,16,20,0.8,-71.26840097,-32.93819802
1980-2000,Otoño,SHAC_221,5426011,FUNDO ESMERALDA (3),0.017847222375,0.05286109447479248,0,17,20,0.85,-71.31049787,-32.90717275
1980-2000,Otoño,SHAC_221,5426014,ASENTAMIENTO LAS PATAGUAS,0.0658823462352941,0.0015392303466796875,1,15,20,0.75,-71.20391021,-32.8741272
1980-2000,Otoño,SHAC_221,5426015,PARCELA 12 LA CRUZ,0.026499998095833338,0.002005338668823242,1,17,20,0.85,-71.2046332,-32.8463486
1980-2000,Otoño,SHAC_221,5426016,SAN ISIDRO PUENTE,0.032350420123931634,0.0833519697189331,0,17,20,0.85,-71.24692776,-32.90183931
1980-2000,Otoño,SHAC_221,5426020,LAS CRUZADAS,-0.00902776591666669,0.5829505324363708,0,13,20,0.65,-71.29507,-32.93648442
1980-2000,Otoño,SHAC_221,5426022,ASENTAMIENTO LAS PATAGUAS,-0.010476190404761903,0.49946117401123047,0,16,20,0.8,-71.22095055,-32.90606406
1980-2000,Otoño,SHAC_222,5427011,FUNDO EL ROCIO,0.10499997925000011,0.32323622703552246,0,10,20,0.5,-71.24191508,-33.02675085
1980-2000,Otoño,SHAC_222,5427012,SAN CARLOS PELUMPEN,0.0879999858821429,0.2514522075653076,0,9,20,0.45,-71.190709,-33.01443184
1980-2000,Otoño,SHAC_223,5422003,A.P. LLAY LLAY (1),0.0031111089888888883,0.8547770977020264,0,13,20,0.65,-70.96017932,-32.84360942
1980-2000,Otoño,SHAC_223,5422003,LLAY LLAY (1),0.0031111089888888883,0.8547770977020264,0,13,20,0.65,-70.96017932,-32.84360942
1980-2000,Otoño,SHAC_223,5422005,A.P. LLAY LLAY (2),0.0118749975625,0.7833642959594727,0,12,20,0.6,-70.95805645,-32.84472487
1980-2000,Otoño,SHAC_224,5414008,PERFIL PUTAENDO (1),1.1611763447058825,0.031823158264160156,1,10,20,0.5,-70.75070774,-32.69113022
1980-2000,Otoño,SHAC_224,5414009,PERFIL PUTAENDO (2),2.205249784750001,1,0,5,20,0.25,-70.74932717,-32.69690364
1980-2000,Invierno,SHAC_216,5426012,ASENTAMIENTO LA VICTORIA (1),-0.0013888859583333388,0.9342846870422363,0,17,20,0.85,-71.40980426,-32.92284453
1980-2000,Invierno,SHAC_216,5426017,ASENTAMIENTO LA VICTORIA (2),-0.018541653958333293,0.2881900668144226,0,18,20,0.9,-71.42446573,-32.92570783
1980-2000,Invierno,SHAC_216,5426018,ASENTAMIENTO LA VICTORIA (3),0.03666667133333338,0.1116403341293335,0,18,20,0.9,-71.43890726,-32.93143209
1980-2000,Invierno,SHAC_216,5426019,LAJARILLAS,NA,1,0,1,20,0.05,-71.46630064,-32.92369858
1980-2000,Invierno,SHAC_216,5426021,TABOLANGO (1),0.04909091109090908,0.008014917373657227,1,18,20,0.9,-71.36176478,-32.92720664
1980-2000,Invierno,SHAC_216,5426023,TABOLANGO (2),0.09000003337500001,1,0,4,20,0.2,-71.36605871,-32.93105693
