periodo,estacion,shac,codigo,nombre,año_slope,sign,sign_2,n,años_totales,percent,lon,lat
1982-2022,Verano,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.6063540783333334,1.475811004638672e-4,1,24,41,0.5853658536585366,-70.6955378,-32.7623636
1982-2022,Otoño,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.305454544853896,0.04966938495635986,1,21,41,0.5121951219512195,-70.6955378,-32.7623636
1982-2022,Invierno,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.5448000335999998,2.8634071350097656e-4,1,27,41,0.6585365853658537,-70.6955378,-32.7623636
1982-2022,Primavera,SHAC_217,5410020,FUNDO LOS CASTAÑOS,0.5349998483333328,6.878376007080078e-4,1,26,41,0.6341463414634146,-70.6955378,-32.7623636
1982-2022,Verano,SHAC_217,5410021,FUNDO LOS MAITENES,0.5296153042307699,7.323026657104492e-4,1,27,41,0.6585365853658537,-70.6775462,-32.8399623
1982-2022,Otoño,SHAC_217,5410021,FUNDO LOS MAITENES,0.43400071300000087,0.01062321662902832,1,24,41,0.5853658536585366,-70.6775462,-32.8399623
1982-2022,Invierno,SHAC_217,5410021,FUNDO LOS MAITENES,0.3250000957518796,0.0230865478515625,1,28,41,0.6829268292682927,-70.6775462,-32.8399623
1982-2022,Primavera,SHAC_217,5410021,FUNDO LOS MAITENES,0.3910293722058821,1.373291015625e-4,1,28,41,0.6829268292682927,-70.6775462,-32.8399623
1982-2022,Verano,SHAC_217,5410023,POZO MARTINEZ,2.5433336900000008,0.13312852382659912,0,7,41,0.17073170731707318,-70.7146141,-32.7769042
1982-2022,Otoño,SHAC_217,5410023,POZO MARTINEZ,2.742500145000001,0.13312852382659912,0,7,41,0.17073170731707318,-70.7146141,-32.7769042
1982-2022,Invierno,SHAC_217,5410023,POZO MARTINEZ,2.9933331800000005,0.13312852382659912,0,7,41,0.17073170731707318,-70.7146141,-32.7769042
1982-2022,Primavera,SHAC_217,5410023,POZO MARTINEZ,2.4311906949999997,0.06348657608032227,0,8,41,0.1951219512195122,-70.7146141,-32.7769042
1982-2022,Verano,SHAC_217,5414007,EL ASIENTO,0.8753694973043481,0.0025502443313598633,1,20,41,0.4878048780487805,-70.7321111,-32.7355097
1982-2022,Otoño,SHAC_217,5414007,EL ASIENTO,0.6615384907692309,0.004580020904541016,1,27,41,0.6585365853658537,-70.7321111,-32.7355097
1982-2022,Invierno,SHAC_217,5414007,EL ASIENTO,0.5961538461538461,0.02188706398010254,1,26,41,0.6341463414634146,-70.7321111,-32.7355097
1982-2022,Primavera,SHAC_217,5414007,EL ASIENTO,0.48542645669117646,0.012781262397766113,1,28,41,0.6829268292682927,-70.7321111,-32.7355097
1982-2022,Verano,SHAC_217,5415008,PERFIL SAN FELIPE,0.24208330186217947,0,1,36,41,0.8780487804878049,-70.7339299,-32.7363052
1982-2022,Otoño,SHAC_217,5415008,PERFIL SAN FELIPE,0.20911111299333338,2.384185791015625e-7,1,36,41,0.8780487804878049,-70.7339299,-32.7363052
1982-2022,Invierno,SHAC_217,5415008,PERFIL SAN FELIPE,0.2207555426399999,0,1,37,41,0.9024390243902439,-70.7339299,-32.7363052
1982-2022,Primavera,SHAC_217,5415008,PERFIL SAN FELIPE,0.22854167417063487,0,1,37,41,0.9024390243902439,-70.7339299,-32.7363052
1982-2022,Verano,SHAC_218,5420009,FUNDO SAN ROQUE,0.013636372272727253,0.036821961402893066,1,30,41,0.7317073170731707,-70.8621518,-32.7926544
1982-2022,Otoño,SHAC_218,5420009,FUNDO SAN ROQUE,0.01829091203272729,0.010570764541625977,1,33,41,0.8048780487804879,-70.8621518,-32.7926544
1982-2022,Invierno,SHAC_218,5420009,FUNDO SAN ROQUE,0.024117645088235298,3.361701965332031e-5,1,35,41,0.8536585365853658,-70.8621518,-32.7926544
1982-2022,Primavera,SHAC_218,5420009,FUNDO SAN ROQUE,0.026428571785714276,2.2280216217041016e-4,1,34,41,0.8292682926829268,-70.8621518,-32.7926544
1982-2022,Verano,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-0.14749997854166663,0.1524062603712082,0,10,41,0.24390243902439024,-71.0254715,-32.8288434
1982-2022,Otoño,SHAC_218,5423024,ASENTAMIENTO ROMERAL,0.07142857142857142,0.21049761772155762,0,10,41,0.24390243902439024,-71.0254715,-32.8288434
1982-2022,Invierno,SHAC_218,5423024,ASENTAMIENTO ROMERAL,-0.2276190801428571,0.1524062603712082,0,10,41,0.24390243902439024,-71.0254715,-32.8288434
